model,fold,auc
LogisticRegression,1,0.9999312420280613
LogisticRegression,2,0.9994390412414965
LogisticRegression,3,0.9996969998937075
LogisticRegression,4,0.9990800382653061
LogisticRegression,5,0.9993650350765305
RandomForest,1,0.999996645142432
RandomForest,2,1.0
RandomForest,3,0.999996113679847
RandomForest,4,0.9999859162414966
RandomForest,5,0.9999965787096089
XGBoost,1,0.9999968776573128
XGBoost,2,0.9999998007015307
XGBoost,3,0.9999907658375851
XGBoost,4,0.9999811330782313
XGBoost,5,0.9999983391794217
